player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Jason Terry,HOU,38,10,72,5.9,1.1,1.4,4.824581,5.4149094,-0.433776629,-1.04800029,-0.24292409
Jason Thompson,TOR,29,12,47,3.1,2.9,0.6,4.016382,7.787601,-0.929648909,-0.29960335,-0.698840765
Jeff Ayres,LAC,29,31,17,1.8,1.3,0.3,1.5914133,7.1387405,-1.159875324,-0.964845074,-0.869809518
Jeff Green,LAC,29,5,80,11.7,4.2,1.7,9.184157,6.288158,0.593387379,0.240905551,-0.071955337
Jeff Teague,ATL,28,19,79,15.7,2.7,5.9,10.121343,2.8889072,1.30177635,-0.382758566,2.321607208
Jeff Withey,UTA,26,39,51,4.3,3.4,0.4,5.480903,8.539635,-0.717132217,-0.091715311,-0.812819934
Jerami Grant,PHI,22,39,77,9.7,4.7,1.8,8.958553,7.051034,0.239192894,0.44879359,-0.014965752
Jeremy Evans,DAL,28,55,30,2.4,1.8,0.1,2.3456283,7.6609716,-1.053616979,-0.756957035,-0.983788687
Jarell Eddie,WAS,24,Undrafted,26,2.4,0.9,0.2,1.1689708,6.6889963,-1.053616979,-1.131155505,-0.926799103
Jeremy Lamb,CHA,24,12,66,8.8,3.8,1.2,8.228063,6.951483,0.079805375,0.07459512,-0.356903259
